WithIO,BlockSeg,Schedulers,Blocks,Width,AbsorbSize,TotalTime,TimeStep,OutputTime
1,32,random,.1,360,8,0.001,0.0001,0.0001
1,12,dm,.1,360,8,0.001,0.0001,0.0001
0,96,ws,.1,360,8,0.001,0.0001,0.0001
0,4,random,.1,360,8,0.001,0.0001,0.0001
1,32,ws,.1,360,8,0.001,0.0001,0.0001
0,12,dmdar,.1,360,8,0.001,0.0001,0.0001
0,6,lws,.1,360,8,0.001,0.0001,0.0001
1,96,dmdar,.1,360,8,0.001,0.0001,0.0001
1,4,dmdar,.1,360,8,0.001,0.0001,0.0001
0,96,lws,.1,360,8,0.001,0.0001,0.0001
0,24,lws,.1,360,8,0.001,0.0001,0.0001
0,8,dmdar,.1,360,8,0.001,0.0001,0.0001
0,4,ws,.1,360,8,0.001,0.0001,0.0001
1,32,lws,.1,360,8,0.001,0.0001,0.0001
1,32,dm,.1,360,8,0.001,0.0001,0.0001
0,12,random,.1,360,8,0.001,0.0001,0.0001
0,32,dm,.1,360,8,0.001,0.0001,0.0001
0,96,dm,.1,360,8,0.001,0.0001,0.0001
0,64,ws,.1,360,8,0.001,0.0001,0.0001
1,24,dmdar,.1,360,8,0.001,0.0001,0.0001
1,48,dmdar,.1,360,8,0.001,0.0001,0.0001
1,6,lws,.1,360,8,0.001,0.0001,0.0001
0,32,ws,.1,360,8,0.001,0.0001,0.0001
0,48,ws,.1,360,8,0.001,0.0001,0.0001
1,16,dm,.1,360,8,0.001,0.0001,0.0001
1,8,dmdar,.1,360,8,0.001,0.0001,0.0001
1,4,lws,.1,360,8,0.001,0.0001,0.0001
1,64,ws,.1,360,8,0.001,0.0001,0.0001
1,96,random,.1,360,8,0.001,0.0001,0.0001
1,12,ws,.1,360,8,0.001,0.0001,0.0001
1,24,dm,.1,360,8,0.001,0.0001,0.0001
0,6,dmdar,.1,360,8,0.001,0.0001,0.0001
1,96,ws,.1,360,8,0.001,0.0001,0.0001
0,16,dm,.1,360,8,0.001,0.0001,0.0001
0,8,ws,.1,360,8,0.001,0.0001,0.0001
1,64,dmdar,.1,360,8,0.001,0.0001,0.0001
1,16,dmdar,.1,360,8,0.001,0.0001,0.0001
0,48,dm,.1,360,8,0.001,0.0001,0.0001
1,8,random,.1,360,8,0.001,0.0001,0.0001
1,6,ws,.1,360,8,0.001,0.0001,0.0001
1,24,ws,.1,360,8,0.001,0.0001,0.0001
0,32,dmdar,.1,360,8,0.001,0.0001,0.0001
1,4,random,.1,360,8,0.001,0.0001,0.0001
0,8,lws,.1,360,8,0.001,0.0001,0.0001
1,64,random,.1,360,8,0.001,0.0001,0.0001
1,4,ws,.1,360,8,0.001,0.0001,0.0001
0,24,dmdar,.1,360,8,0.001,0.0001,0.0001
1,6,dmdar,.1,360,8,0.001,0.0001,0.0001
0,64,dmdar,.1,360,8,0.001,0.0001,0.0001
1,6,dm,.1,360,8,0.001,0.0001,0.0001
0,96,dmdar,.1,360,8,0.001,0.0001,0.0001
1,4,dm,.1,360,8,0.001,0.0001,0.0001
0,6,ws,.1,360,8,0.001,0.0001,0.0001
0,12,dm,.1,360,8,0.001,0.0001,0.0001
0,16,lws,.1,360,8,0.001,0.0001,0.0001
1,16,lws,.1,360,8,0.001,0.0001,0.0001
0,8,dm,.1,360,8,0.001,0.0001,0.0001
0,24,random,.1,360,8,0.001,0.0001,0.0001
0,64,random,.1,360,8,0.001,0.0001,0.0001
1,48,ws,.1,360,8,0.001,0.0001,0.0001
0,32,random,.1,360,8,0.001,0.0001,0.0001
1,8,dm,.1,360,8,0.001,0.0001,0.0001
0,12,lws,.1,360,8,0.001,0.0001,0.0001
1,12,lws,.1,360,8,0.001,0.0001,0.0001
1,48,dm,.1,360,8,0.001,0.0001,0.0001
0,16,ws,.1,360,8,0.001,0.0001,0.0001
0,64,lws,.1,360,8,0.001,0.0001,0.0001
0,48,lws,.1,360,8,0.001,0.0001,0.0001
0,64,dm,.1,360,8,0.001,0.0001,0.0001
0,24,dm,.1,360,8,0.001,0.0001,0.0001
1,24,random,.1,360,8,0.001,0.0001,0.0001
1,48,random,.1,360,8,0.001,0.0001,0.0001
1,24,lws,.1,360,8,0.001,0.0001,0.0001
1,96,dm,.1,360,8,0.001,0.0001,0.0001
1,12,dmdar,.1,360,8,0.001,0.0001,0.0001
1,8,lws,.1,360,8,0.001,0.0001,0.0001
0,6,dm,.1,360,8,0.001,0.0001,0.0001
0,16,random,.1,360,8,0.001,0.0001,0.0001
0,16,dmdar,.1,360,8,0.001,0.0001,0.0001
0,96,random,.1,360,8,0.001,0.0001,0.0001
1,48,lws,.1,360,8,0.001,0.0001,0.0001
1,96,lws,.1,360,8,0.001,0.0001,0.0001
1,32,dmdar,.1,360,8,0.001,0.0001,0.0001
1,16,random,.1,360,8,0.001,0.0001,0.0001
1,8,ws,.1,360,8,0.001,0.0001,0.0001
0,48,random,.1,360,8,0.001,0.0001,0.0001
1,64,dm,.1,360,8,0.001,0.0001,0.0001
1,16,ws,.1,360,8,0.001,0.0001,0.0001
0,6,random,.1,360,8,0.001,0.0001,0.0001
1,64,lws,.1,360,8,0.001,0.0001,0.0001
0,4,dm,.1,360,8,0.001,0.0001,0.0001
0,24,ws,.1,360,8,0.001,0.0001,0.0001
0,12,ws,.1,360,8,0.001,0.0001,0.0001
1,12,random,.1,360,8,0.001,0.0001,0.0001
0,4,lws,.1,360,8,0.001,0.0001,0.0001
0,32,lws,.1,360,8,0.001,0.0001,0.0001
0,4,dmdar,.1,360,8,0.001,0.0001,0.0001
0,8,random,.1,360,8,0.001,0.0001,0.0001
0,48,dmdar,.1,360,8,0.001,0.0001,0.0001
1,6,random,.1,360,8,0.001,0.0001,0.0001
1,48,dm,.2,360,8,0.001,0.0001,0.0001
0,96,ws,.2,360,8,0.001,0.0001,0.0001
1,6,ws,.2,360,8,0.001,0.0001,0.0001
0,32,lws,.2,360,8,0.001,0.0001,0.0001
1,24,dmdar,.2,360,8,0.001,0.0001,0.0001
1,8,dmdar,.2,360,8,0.001,0.0001,0.0001
1,96,ws,.2,360,8,0.001,0.0001,0.0001
0,6,dmdar,.2,360,8,0.001,0.0001,0.0001
1,16,dmdar,.2,360,8,0.001,0.0001,0.0001
0,48,ws,.2,360,8,0.001,0.0001,0.0001
0,6,lws,.2,360,8,0.001,0.0001,0.0001
0,4,random,.2,360,8,0.001,0.0001,0.0001
0,16,ws,.2,360,8,0.001,0.0001,0.0001
1,64,dm,.2,360,8,0.001,0.0001,0.0001
1,4,ws,.2,360,8,0.001,0.0001,0.0001
1,16,dm,.2,360,8,0.001,0.0001,0.0001
1,12,ws,.2,360,8,0.001,0.0001,0.0001
0,64,ws,.2,360,8,0.001,0.0001,0.0001
0,4,dm,.2,360,8,0.001,0.0001,0.0001
1,8,lws,.2,360,8,0.001,0.0001,0.0001
0,12,dm,.2,360,8,0.001,0.0001,0.0001
0,24,dm,.2,360,8,0.001,0.0001,0.0001
0,24,lws,.2,360,8,0.001,0.0001,0.0001
1,6,lws,.2,360,8,0.001,0.0001,0.0001
0,16,lws,.2,360,8,0.001,0.0001,0.0001
1,96,lws,.2,360,8,0.001,0.0001,0.0001
1,48,lws,.2,360,8,0.001,0.0001,0.0001
1,96,dmdar,.2,360,8,0.001,0.0001,0.0001
1,16,lws,.2,360,8,0.001,0.0001,0.0001
0,12,random,.2,360,8,0.001,0.0001,0.0001
1,96,random,.2,360,8,0.001,0.0001,0.0001
1,64,dmdar,.2,360,8,0.001,0.0001,0.0001
0,12,dmdar,.2,360,8,0.001,0.0001,0.0001
0,64,dmdar,.2,360,8,0.001,0.0001,0.0001
1,48,random,.2,360,8,0.001,0.0001,0.0001
1,4,random,.2,360,8,0.001,0.0001,0.0001
1,12,lws,.2,360,8,0.001,0.0001,0.0001
0,16,dmdar,.2,360,8,0.001,0.0001,0.0001
0,64,dm,.2,360,8,0.001,0.0001,0.0001
0,96,dmdar,.2,360,8,0.001,0.0001,0.0001
0,4,lws,.2,360,8,0.001,0.0001,0.0001
1,64,lws,.2,360,8,0.001,0.0001,0.0001
0,32,random,.2,360,8,0.001,0.0001,0.0001
1,8,ws,.2,360,8,0.001,0.0001,0.0001
1,32,ws,.2,360,8,0.001,0.0001,0.0001
0,8,dm,.2,360,8,0.001,0.0001,0.0001
0,96,random,.2,360,8,0.001,0.0001,0.0001
0,64,random,.2,360,8,0.001,0.0001,0.0001
1,32,dm,.2,360,8,0.001,0.0001,0.0001
0,24,random,.2,360,8,0.001,0.0001,0.0001
0,24,ws,.2,360,8,0.001,0.0001,0.0001
0,24,dmdar,.2,360,8,0.001,0.0001,0.0001
0,32,dm,.2,360,8,0.001,0.0001,0.0001
0,4,dmdar,.2,360,8,0.001,0.0001,0.0001
1,32,lws,.2,360,8,0.001,0.0001,0.0001
0,8,lws,.2,360,8,0.001,0.0001,0.0001
1,12,dm,.2,360,8,0.001,0.0001,0.0001
1,8,dm,.2,360,8,0.001,0.0001,0.0001
1,32,dmdar,.2,360,8,0.001,0.0001,0.0001
0,16,random,.2,360,8,0.001,0.0001,0.0001
1,6,dmdar,.2,360,8,0.001,0.0001,0.0001
0,16,dm,.2,360,8,0.001,0.0001,0.0001
1,16,random,.2,360,8,0.001,0.0001,0.0001
0,48,random,.2,360,8,0.001,0.0001,0.0001
0,6,random,.2,360,8,0.001,0.0001,0.0001
1,24,ws,.2,360,8,0.001,0.0001,0.0001
1,24,dm,.2,360,8,0.001,0.0001,0.0001
1,12,dmdar,.2,360,8,0.001,0.0001,0.0001
1,24,random,.2,360,8,0.001,0.0001,0.0001
1,16,ws,.2,360,8,0.001,0.0001,0.0001
1,32,random,.2,360,8,0.001,0.0001,0.0001
1,4,lws,.2,360,8,0.001,0.0001,0.0001
1,8,random,.2,360,8,0.001,0.0001,0.0001
0,8,dmdar,.2,360,8,0.001,0.0001,0.0001
1,48,dmdar,.2,360,8,0.001,0.0001,0.0001
0,32,dmdar,.2,360,8,0.001,0.0001,0.0001
0,48,lws,.2,360,8,0.001,0.0001,0.0001
0,6,dm,.2,360,8,0.001,0.0001,0.0001
1,48,ws,.2,360,8,0.001,0.0001,0.0001
0,48,dm,.2,360,8,0.001,0.0001,0.0001
0,32,ws,.2,360,8,0.001,0.0001,0.0001
1,96,dm,.2,360,8,0.001,0.0001,0.0001
0,8,random,.2,360,8,0.001,0.0001,0.0001
0,4,ws,.2,360,8,0.001,0.0001,0.0001
1,4,dm,.2,360,8,0.001,0.0001,0.0001
1,6,dm,.2,360,8,0.001,0.0001,0.0001
1,64,random,.2,360,8,0.001,0.0001,0.0001
1,12,random,.2,360,8,0.001,0.0001,0.0001
1,6,random,.2,360,8,0.001,0.0001,0.0001
0,6,ws,.2,360,8,0.001,0.0001,0.0001
0,12,lws,.2,360,8,0.001,0.0001,0.0001
1,24,lws,.2,360,8,0.001,0.0001,0.0001
0,96,lws,.2,360,8,0.001,0.0001,0.0001
0,64,lws,.2,360,8,0.001,0.0001,0.0001
1,64,ws,.2,360,8,0.001,0.0001,0.0001
0,8,ws,.2,360,8,0.001,0.0001,0.0001
1,4,dmdar,.2,360,8,0.001,0.0001,0.0001
0,12,ws,.2,360,8,0.001,0.0001,0.0001
0,48,dmdar,.2,360,8,0.001,0.0001,0.0001
0,96,dm,.2,360,8,0.001,0.0001,0.0001
1,12,dmdar,.3,360,8,0.001,0.0001,0.0001
0,32,lws,.3,360,8,0.001,0.0001,0.0001
1,8,dmdar,.3,360,8,0.001,0.0001,0.0001
1,16,lws,.3,360,8,0.001,0.0001,0.0001
1,96,dm,.3,360,8,0.001,0.0001,0.0001
1,16,ws,.3,360,8,0.001,0.0001,0.0001
0,32,dmdar,.3,360,8,0.001,0.0001,0.0001
1,4,random,.3,360,8,0.001,0.0001,0.0001
1,24,dm,.3,360,8,0.001,0.0001,0.0001
1,64,dm,.3,360,8,0.001,0.0001,0.0001
1,48,ws,.3,360,8,0.001,0.0001,0.0001
